小区,户型,面积,朝向,楼层,楼高,房龄,楼型,月份,单价,总价,其他
旭辉奥都,2室1厅,90,东南,高楼层,(共26层),2008,塔楼,2016.03,29666,267,距5号线立水桥南492米
旭辉奥都,2室1厅,89,南,高楼层,(共27层),2008,板塔结合,2016.03,29775,265,距5号线立水桥南366米
n次方,3室2厅,61,西,低楼层,(共18层),2014,塔楼,2016.03,29918,182.5,距5号线立水桥903米
旭辉奥都,2室1厅,90,南 北,低楼层,(共27层),2008,板塔结合,2016.03,30000,270,距5号线立水桥南366米
鑫兆丽园,4室2厅,192,南 北,高楼层,(共11层),2002,板楼,2016.03,30208,580,满五年唯一
美立方,1室0厅,45,南,低楼层,(共13层),2011,板塔结合,2016.03,30666,138,房本满两年
旭辉奥都,2室1厅,88,南,高楼层,(共27层),2008,板塔结合,2016.03,30681,270,满五年唯一
华发颐园,4室2厅,215,南 北,低楼层,(共11层),2007,板楼,2016.03,30697,660,满五年唯一
旭辉奥都,2室1厅,91,南 北,中楼层,(共27层),2008,板塔结合,2016.03,30769,280,满五年唯一
旭辉奥都,2室1厅,90,南 北,低楼层,(共27层),2008,板塔结合,2016.03,30777,277,距5号线立水桥南329米
旭辉奥都,1室0厅,48,东,中楼层,(共26层),2008,塔楼,2016.03,30833,148,距5号线立水桥南492米
黄金苑,3室2厅,123,南 西,低楼层,(共18层),1998,塔楼,2016.03,30894,380,满五年唯一
美立方,2室1厅,77,南,中楼层,(共20层),2011,板塔结合,2016.03,31168,240,距5号线立水桥南509米
北京青年城,1室1厅,93,北,低楼层,(共11层),2005,板楼,2016.03,31182,290,
旭辉奥都,1室0厅,43,东,中楼层,(共19层),2008,板塔结合,2016.03,31395,135,满五年唯一
天朗园,3室2厅,237,东 南 北,低楼层,(共31层),2005,塔楼,2016.03,31645,750,房本满两年
天畅园,2室1厅,167,西,中楼层,(共29层),2008,塔楼,2016.03,31676,529,满五年唯一
旭辉奥都,1室0厅,47,西,低楼层,(共26层),2008,塔楼,2016.03,31702,149,距5号线立水桥南459米
北苑6号院,2室1厅,72,南 北,高楼层,(共6层),1996,板楼,2016.03,31944,230,距5号线立水桥南736米
旭辉奥都,2室1厅,109,南,高楼层,(共26层),2008,塔楼,2016.03,32110,350,距5号线立水桥南421米
美立方,1室0厅,42,南,高楼层,(共20层),2011,板塔结合,2016.03,32142,135,距5号线立水桥南509米
旭辉奥都,2室1厅,88,南 北,高楼层,(共27层),2008,板塔结合,2016.03,32159,283,距5号线立水桥南329米
美立方,1室0厅,37,东,中楼层,(共20层),2011,板塔结合,2016.03,32432,120,距5号线立水桥南509米
旭辉奥都,2室1厅,73,西 北,低楼层,(共27层),2008,板塔结合,2016.03,32602,238,距5号线立水桥南329米
北苑家园绣菊园,2室1厅,81,南,高楼层,(共25层),2000,塔楼,2016.03,32716,265,房本满两年
天畅园,2室2厅,131,西,中楼层,(共33层),2008,塔楼,2016.03,32824,430,房本满两年
北苑五号院四区,3室1厅,69,南 北,高楼层,(共6层),1984,板楼,2016.03,33043,228,房本满两年
北苑家园绣菊园,2室1厅,80,西 北,低楼层,(共25层),2000,塔楼,2016.03,33250,266,满五年唯一
北苑家园绣菊园,2室2厅,102,西 南,低楼层,(共25层),2000,塔楼,2016.03,33284,339.5,房本满两年
天畅园,3室2厅,165,东 北,中楼层,(共29层),2008,塔楼,2016.03,33333,550,满五年唯一
北苑家园绣菊园,3室1厅,96,南 北,中楼层,(共14层),2000,板塔结合,2016.03,33333,320,房本满两年
旭辉奥都,2室1厅,90,南 西,高楼层,(共26层),2008,塔楼,2016.03,33333,300,距5号线立水桥南492米
北苑五号院四区,3室1厅,69,东 西,低楼层,(共6层),1994,板楼,2016.03,33333,230,满五年唯一
北苑家园绣菊园,3室2厅,153,南 北,高楼层,(共14层),2001,板楼,2016.03,33660,515,满五年唯一
北苑家园紫绶园,3室2厅,95,南,低楼层,(共25层),1999,塔楼,2016.03,33684,320,满五年唯一
华发颐园,1室0厅,65,西,中楼层,(共19层),2007,板塔结合,2016.03,33846,220,
北苑家园紫绶园,2室1厅,79,东南,低楼层,(共25层),1999,塔楼,2016.03,34050,269,满五年唯一
